Probability of death for females by calendar year and by single year of age (ages 0 to 119).
Year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119
1910,0.098260,0.025541,0.012630,0.009170,0.007321,0.005436,0.003968,0.002921,0.002285,0.002015,0.002028,0.002204,0.002409,0.002551,0.002660,0.002842,0.003135,0.003463,0.003813,0.004173,0.004566,0.004953,0.005253,0.005433,0.005524,0.005582,0.005660,0.005770,0.005933,0.006134,0.006350,0.006548,0.006712,0.006830,0.006918,0.007000,0.007112,0.007277,0.007516,0.007813,0.008155,0.008504,0.008829,0.009113,0.009381,0.009681,0.010049,0.010490,0.011021,0.011640,0.012331,0.013095,0.013956,0.014921,0.015990,0.017200,0.018516,0.019868,0.021230,0.022657,0.024241,0.026053,0.028104,0.030431,0.033040,0.035914,0.039064,0.042535,0.046348,0.050508,0.055126,0.060113,0.065274,0.070545,0.076079,0.081887,0.088341,0.095886,0.104739,0.114617,0.125637,0.136939,0.147445,0.156682,0.165433,0.174867,0.185951,0.199260,0.214936,0.232742,0.252319,0.273250,0.295122,0.313828,0.332279,0.351231,0.370646,0.390482,0.410693,0.431228,0.452790,0.475429,0.499200,0.524161,0.550369,0.577887,0.606781,0.637120,0.668976,0.702425,0.737546,0.774424,0.813145,0.853802,0.896492,0.941317,0.988383,1.000000,1.000000,1.000000
1911,0.085508,0.021590,0.010702,0.007776,0.006211,0.004681,0.003490,0.002634,0.002101,0.001857,0.001842,0.001975,0.002164,0.002346,0.002532,0.002787,0.003126,0.003488,0.003860,0.004228,0.004629,0.005019,0.005308,0.005459,0.005509,0.005522,0.005559,0.005636,0.005781,0.005975,0.006179,0.006367,0.006549,0.006718,0.006882,0.007053,0.007237,0.007430,0.007631,0.007843,0.008087,0.008352,0.008609,0.008849,0.009095,0.009371,0.009718,0.010161,0.010726,0.011401,0.012153,0.012971,0.013880,0.014883,0.015977,0.017215,0.018550,0.019876,0.021158,0.022465,0.023922,0.025620,0.027566,0.029802,0.032341,0.035114,0.038176,0.041667,0.045643,0.050051,0.054972,0.060190,0.065387,0.070429,0.075547,0.080888,0.086941,0.094159,0.102804,0.112573,0.123466,0.134641,0.145148,0.154541,0.163541,0.173227,0.184489,0.197855,0.213449,0.231048,0.250315,0.270861,0.289444,0.307599,0.325481,0.343872,0.362743,0.382060,0.401785,0.421874,0.442967,0.465116,0.488372,0.512790,0.538430,0.565351,0.593619,0.623300,0.654465,0.687188,0.721547,0.757625,0.795506,0.835281,0.877045,0.920897,0.966942,1.000000,1.000000,1.000000
1912,0.082861,0.019876,0.009866,0.007171,0.005730,0.004314,0.003213,0.002419,0.001918,0.001679,0.001651,0.001765,0.001947,0.002141,0.002351,0.002634,0.002988,0.003345,0.003683,0.004000,0.004339,0.004676,0.004934,0.005084,0.005157,0.005198,0.005257,0.005348,0.005494,0.005680,0.005879,0.006065,0.006235,0.006381,0.006515,0.006646,0.006798,0.006991,0.007236,0.007522,0.007854,0.008193,0.008484,0.008702,0.008887,0.009092,0.009380,0.009781,0.010327,0.011004,0.011755,0.012571,0.013499,0.014548,0.015705,0.017018,0.018416,0.019774,0.021043,0.022306,0.023691,0.025323,0.027239,0.029501,0.032095,0.034979,0.038119,0.041530,0.045212,0.049199,0.053599,0.058405,0.063516,0.068917,0.074694,0.080749,0.087361,0.094951,0.103696,0.113331,0.124046,0.134985,0.145002,0.153606,0.161603,0.170198,0.180393,0.192790,0.207549,0.224434,0.243088,0.263091,0.284026,0.302207,0.320063,0.338393,0.357157,0.376313,0.395812,0.415603,0.436383,0.458202,0.481112,0.505168,0.530426,0.556947,0.584795,0.614035,0.644736,0.676973,0.710822,0.746363,0.783681,0.822865,0.864008,0.907209,0.952569,1.000000,1.000000,1.000000
1913,0.085481,0.021717,0.010764,0.007821,0.006247,0.004720,0.003529,0.002667,0.002122,0.001860,0.001824,0.001935,0.002106,0.002275,0.002452,0.002699,0.003028,0.003372,0.003711,0.004040,0.004396,0.004747,0.005009,0.005151,0.005206,0.005228,0.005271,0.005346,0.005477,0.005650,0.005836,0.006011,0.006176,0.006323,0.006464,0.006604,0.006767,0.006975,0.007240,0.007550,0.007910,0.008275,0.008585,0.008812,0.008998,0.009193,0.009473,0.009886,0.010474,0.011207,0.012025,0.012886,0.013805,0.014770,0.015791,0.016948,0.018205,0.019438,0.020612,0.021803,0.023129,0.024701,0.026558,0.028760,0.031299,0.034100,0.037173,0.040618,0.044467,0.048697,0.053392,0.058417,0.063549,0.068704,0.074043,0.079573,0.085713,0.092959,0.101555,0.111169,0.121912,0.132803,0.142627,0.150839,0.158313,0.166361,0.176079,0.188126,0.202677,0.219474,0.238122,0.258164,0.279141,0.297266,0.314557,0.332339,0.350584,0.369258,0.388324,0.407740,0.428127,0.449533,0.472010,0.495610,0.520391,0.546410,0.573731,0.602417,0.632538,0.664165,0.697373,0.732242,0.768854,0.807297,0.847662,0.890045,0.934547,0.981274,1.000000,1.000000
1914,0.080343,0.018567,0.009227,0.006709,0.005362,0.004178,0.003246,0.002559,0.002103,0.001856,0.001780,0.001831,0.001959,0.002125,0.002329,0.002596,0.002923,0.003268,0.003615,0.003954,0.004322,0.004682,0.004948,0.005087,0.005132,0.005142,0.005175,0.005245,0.005377,0.005555,0.005748,0.005927,0.006095,0.006245,0.006387,0.006531,0.006698,0.006900,0.007148,0.007434,0.007761,0.008100,0.008409,0.008669,0.008910,0.009175,0.009513,0.009947,0.010504,0.011172,0.011908,0.012702,0.013591,0.014580,0.015660,0.016889,0.018200,0.019464,0.020631,0.021789,0.023082,0.024629,0.026448,0.028595,0.031074,0.033757,0.036720,0.040185,0.044230,0.048756,0.053859,0.059183,0.064228,0.068773,0.073164,0.077543,0.082722,0.089528,0.098410,0.108792,0.120477,0.132073,0.142169,0.150042,0.156749,0.163901,0.172845,0.184384,0.198717,0.215503,0.234233,0.254322,0.274884,0.291859,0.308252,0.325186,0.342649,0.360627,0.379103,0.398058,0.417961,0.438859,0.460802,0.483842,0.508034,0.533436,0.560108,0.588113,0.617519,0.648395,0.680814,0.714855,0.750598,0.788128,0.827534,0.868911,0.912356,0.957974,1.000000,1.000000
1915,0.076037,0.016705,0.008318,0.006052,0.004839,0.003714,0.002841,0.002211,0.001813,0.001622,0.001600,0.001699,0.001865,0.002058,0.002279,0.002558,0.002894,0.003242,0.003582,0.003910,0.004263,0.004606,0.004858,0.004986,0.005024,0.005027,0.005052,0.005116,0.005244,0.005421,0.005615,0.005797,0.005965,0.006109,0.006243,0.006375,0.006535,0.006750,0.007039,0.007382,0.007777,0.008174,0.008516,0.008773,0.008986,0.009220,0.009537,0.009955,0.010502,0.011171,0.011896,0.012688,0.013625,0.014729,0.015968,0.017390,0.018871,0.020216,0.021340,0.022372,0.023524,0.024982,0.026773,0.028984,0.031605,0.034443,0.037579,0.041305,0.045715,0.050677,0.056233,0.061988,0.067445,0.072366,0.077092,0.081822,0.087314,0.094280,0.103125,0.113336,0.124777,0.136173,0.146202,0.154198,0.161157,0.168588,0.177753,0.189407,0.203739,0.220435,0.239026,0.258968,0.279725,0.300832,0.320598,0.338290,0.356519,0.375269,0.394519,0.414245,0.434957,0.456705,0.479540,0.503517,0.528693,0.555128,0.582884,0.612029,0.642630,0.674762,0.708500,0.743925,0.781121,0.820177,0.861186,0.904245,0.949457,0.996930,1.000000,1.000000
1916,0.077426,0.019758,0.009808,0.007129,0.005697,0.004240,0.003111,0.002303,0.001800,0.001569,0.001558,0.001694,0.001900,0.002119,0.002355,0.002660,0.003039,0.003424,0.003794,0.004143,0.004519,0.004884,0.005142,0.005257,0.005268,0.005237,0.005232,0.005277,0.005404,0.005591,0.005797,0.005988,0.006163,0.006309,0.006442,0.006574,0.006737,0.006951,0.007232,0.007566,0.007944,0.008327,0.008678,0.008975,0.009248,0.009563,0.009948,0.010371,0.010839,0.011372,0.011927,0.012583,0.013485,0.014695,0.016137,0.017814,0.019509,0.020958,0.022029,0.022902,0.023834,0.025123,0.026886,0.029269,0.032192,0.035417,0.038863,0.042682,0.046879,0.051428,0.056521,0.061939,0.067255,0.072312,0.077390,0.082532,0.088437,0.095892,0.105294,0.116110,0.128225,0.140303,0.150922,0.159379,0.166724,0.174550,0.184181,0.196405,0.211414,0.228867,0.248260,0.269015,0.290563,0.308540,0.326116,0.344239,0.362889,0.382045,0.401679,0.421763,0.442851,0.464994,0.488243,0.512655,0.538288,0.565203,0.593463,0.623136,0.654293,0.687007,0.721358,0.757425,0.795297,0.835062,0.876815,0.920655,0.966688,1.000000,1.000000,1.000000
1917,0.076382,0.018990,0.009433,0.006858,0.005481,0.004169,0.003154,0.002427,0.001972,0.001760,0.001747,0.001873,0.002073,0.002299,0.002552,0.002870,0.003252,0.003640,0.004011,0.004360,0.004736,0.005100,0.005351,0.005451,0.005444,0.005390,0.005366,0.005402,0.005533,0.005735,0.005959,0.006163,0.006347,0.006495,0.006624,0.006752,0.006910,0.007112,0.007372,0.007678,0.008026,0.008382,0.008712,0.008997,0.009265,0.009574,0.009954,0.010385,0.010876,0.011443,0.012040,0.012733,0.013650,0.014845,0.016250,0.017877,0.019531,0.020972,0.022078,0.023015,0.024021,0.025364,0.027145,0.029493,0.032342,0.035490,0.038868,0.042605,0.046707,0.051157,0.056129,0.061441,0.066732,0.071873,0.077104,0.082395,0.088397,0.095914,0.105327,0.116093,0.128163,0.140139,0.150469,0.158402,0.165060,0.172148,0.181091,0.192741,0.207313,0.224452,0.243625,0.264221,0.285635,0.304710,0.321609,0.339093,0.357158,0.375796,0.394996,0.414746,0.435483,0.457257,0.480120,0.504126,0.529332,0.555799,0.583589,0.612768,0.643406,0.675577,0.709356,0.744823,0.782065,0.821168,0.862226,0.905338,0.950604,0.998135,1.000000,1.000000
1918,0.082058,0.029169,0.014400,0.010450,0.008340,0.006450,0.004988,0.003948,0.003318,0.003059,0.003107,0.003372,0.003756,0.004189,0.004682,0.005270,0.005996,0.006855,0.007850,0.008927,0.010049,0.011118,0.012036,0.012738,0.013253,0.013695,0.014084,0.014327,0.014406,0.014345,0.014224,0.014047,0.013746,0.013313,0.012795,0.012222,0.011684,0.011275,0.011055,0.010990,0.010992,0.011008,0.011065,0.011151,0.011279,0.011478,0.011759,0.012110,0.012533,0.013034,0.013596,0.014247,0.015046,0.016017,0.017128,0.018424,0.019782,0.021019,0.022052,0.023007,0.024046,0.025379,0.027115,0.029364,0.032062,0.035010,0.038158,0.041648,0.045495,0.049657,0.054302,0.059190,0.063890,0.068232,0.072499,0.076780,0.081743,0.088104,0.096240,0.105670,0.116292,0.126882,0.136134,0.143397,0.149638,0.156330,0.164711,0.175527,0.188973,0.204754,0.222419,0.241444,0.261308,0.280423,0.296835,0.313702,0.330992,0.348670,0.366698,0.385033,0.404285,0.424499,0.445724,0.468010,0.491410,0.515981,0.541780,0.568869,0.597312,0.627178,0.658537,0.691464,0.726037,0.762339,0.800456,0.840479,0.882503,0.926628,0.972959,1.000000
1919,0.067029,0.016522,0.008229,0.005988,0.004788,0.003886,0.003179,0.002648,0.002277,0.002052,0.001961,0.002000,0.002161,0.002435,0.002801,0.003239,0.003718,0.004213,0.004701,0.005175,0.005666,0.006147,0.006545,0.006830,0.007025,0.007183,0.007333,0.007456,0.007558,0.007640,0.007709,0.007760,0.007785,0.007785,0.007770,0.007752,0.007749,0.007778,0.007852,0.007967,0.008117,0.008291,0.008486,0.008699,0.008941,0.009225,0.009570,0.009989,0.010493,0.011079,0.011729,0.012442,0.013237,0.014120,0.015086,0.016202,0.017400,0.018540,0.019570,0.020587,0.021688,0.023051,0.024804,0.027047,0.029711,0.032681,0.035831,0.039137,0.042552,0.046138,0.050060,0.054352,0.058906,0.063717,0.068856,0.074265,0.080150,0.086813,0.094390,0.102702,0.111967,0.121529,0.130443,0.138322,0.145832,0.153969,0.163567,0.175131,0.188810,0.204426,0.221702,0.240304,0.259896,0.280178,0.298299,0.315304,0.332726,0.350528,0.368668,0.387101,0.406456,0.426779,0.448118,0.470524,0.494050,0.518753,0.544690,0.571925,0.600521,0.630547,0.662075,0.695178,0.729937,0.766434,0.804756,0.844994,0.887243,0.931606,0.978186,1.000000
1920,0.067733,0.017735,0.008821,0.006416,0.005128,0.004038,0.003185,0.002555,0.002137,0.001909,0.001845,0.001913,0.002079,0.002316,0.002615,0.002978,0.003399,0.003857,0.004338,0.004825,0.005348,0.005850,0.006228,0.006434,0.006512,0.006534,0.006578,0.006668,0.006840,0.007065,0.007300,0.007494,0.007630,0.007689,0.007691,0.007690,0.007712,0.007736,0.007770,0.007824,0.007893,0.007999,0.008179,0.008449,0.008800,0.009215,0.009671,0.010164,0.010687,0.011251,0.011879,0.012589,0.013382,0.014269,0.015248,0.016368,0.017586,0.018815,0.020024,0.021282,0.022675,0.024311,0.026244,0.028529,0.031151,0.034083,0.037271,0.040692,0.044329,0.048236,0.052549,0.057295,0.062399,0.067863,0.073756,0.079972,0.086748,0.094467,0.103289,0.112977,0.123738,0.134787,0.145045,0.154062,0.162592,0.171764,0.182514,0.195400,0.210567,0.227795,0.246746,0.267027,0.288245,0.305752,0.323148,0.341087,0.359553,0.378522,0.397970,0.417868,0.438762,0.460700,0.483735,0.507921,0.533317,0.559983,0.587982,0.617382,0.648251,0.680663,0.714696,0.750431,0.787953,0.827350,0.868718,0.912154,0.957761,1.000000,1.000000,1.000000
1921,0.059837,0.014176,0.007084,0.005160,0.004129,0.003452,0.002909,0.002485,0.002165,0.001942,0.001812,0.001778,0.001845,0.002011,0.002255,0.002549,0.002867,0.003204,0.003543,0.003873,0.004234,0.004577,0.004798,0.004855,0.004793,0.004685,0.004611,0.004596,0.004680,0.004837,0.005008,0.005162,0.005318,0.005469,0.005618,0.005791,0.005979,0.006146,0.006282,0.006407,0.006539,0.006716,0.006968,0.007319,0.007752,0.008238,0.008749,0.009278,0.009813,0.010367,0.010992,0.011684,0.012396,0.013120,0.013885,0.014730,0.015703,0.016837,0.018159,0.019663,0.021372,0.023234,0.025179,0.027180,0.029305,0.031641,0.034297,0.037337,0.040821,0.044726,0.049082,0.053778,0.058675,0.063717,0.069035,0.074710,0.081012,0.088192,0.096399,0.105476,0.115504,0.125976,0.136250,0.146047,0.155848,0.166365,0.178184,0.191651,0.206850,0.223639,0.241800,0.259906,0.276069,0.292428,0.308830,0.325776,0.343255,0.361254,0.379756,0.398744,0.418681,0.439615,0.461596,0.484676,0.508910,0.534355,0.561073,0.589127,0.618583,0.649512,0.681988,0.716087,0.751892,0.789486,0.828961,0.870409,0.913929,0.959625,1.000000,1.000000
